"name","type","fluidTypeH","fluidTypeC","fluidInTempH","fluidInTempC","fluidOutTempH","fluidOutTempC","fluidMRateH","fluidMRateC","fluidMaxPDropH","fluidMaxPDropC","fluidFoulingH","fluidFoulingC","flowPassH","flowPassC","plateMat","plateThick","plateEnlarge","plateBeta","platePortDia","plateWidth","platePortDisH","platePortDisV","plateLength","platePitch","plateNum","plateCond","k_p","R_c","R_h","b","D_h","A_1p","A_1","N_e","A_t","N_cp_h","N_cp_c","G_c_h","G_c_c","iter1-T_o_c","iter1-T_o_h","iter1-T_mean_c","iter1-T_mean_h","iter1-mu_c","iter1-Cp_c","iter1-k_c","iter1-Pr_c","iter1-mu_h","iter1-Cp_h","iter1-k_h","iter1-Pr_h","iter1-Re_c","iter1-Re_h","iter1-Nu_c","iter1-Nu_h","iter1-h_c","iter1-h_h","iter1-U_f","iter1-C_c","iter1-C_h","iter1-C_min","iter1-C_max","iter1-NTU","iter1-R","iter1-epsilon","iter1-Q","iter1-T_o_c_res","iter1-T_o_h_res","iter2-T_o_c","iter2-T_o_h","iter2-T_mean_c","iter2-T_mean_h","iter2-mu_c","iter2-Cp_c","iter2-k_c","iter2-Pr_c","iter2-mu_h","iter2-Cp_h","iter2-k_h","iter2-Pr_h","iter2-Re_c","iter2-Re_h","iter2-Nu_c","iter2-Nu_h","iter2-h_c","iter2-h_h","iter2-U_f","iter2-C_c","iter2-C_h","iter2-C_min","iter2-C_max","iter2-NTU","iter2-R","iter2-epsilon","iter2-Q","iter2-T_o_c_res","iter2-T_o_h_res","ro_c","ro_h","Kp_c","z_c","Kp_h","z_h","p_c_c","p_p_c","p_t_c","p_c_h","p_p_h","p_t_h","mu_c","Cp_c","k_c","Pr_c","mu_h","Cp_h","k_h","Pr_h","iter1-Ch_c","iter1-y_c","iter1-Ch_h","iter1-y_h","iter1-T_A","iter1-T_B","iter1-LMTD","iter1-flow","iter1-F","iter1-T_eff","iter1-A_t","iter1-N_e","iter1-N_t","iter1-N_cp_c","iter1-N_cp_h","iter1-G_c_c","iter1-G_c_h","iter1-Re_c_res","iter1-Re_h_res","iter2-Ch_c","iter2-y_c","iter2-Ch_h","iter2-y_h","iter2-T_A","iter2-T_B","iter2-LMTD","iter2-flow","iter2-F","iter2-T_eff","iter2-A_t","iter2-N_e","iter2-N_t","iter2-N_cp_c","iter2-N_cp_h","iter2-G_c_c","iter2-G_c_h","iter2-Re_c_res","iter2-Re_h_res","iter3-Re_c","iter3-Re_h","iter3-Ch_c","iter3-y_c","iter3-Ch_h","iter3-y_h","iter3-Nu_c","iter3-Nu_h","iter3-h_c","iter3-h_h","iter3-U_f","iter3-T_A","iter3-T_B","iter3-LMTD","iter3-NTU","iter3-flow","iter3-F","iter3-T_eff","iter3-Q","iter3-A_t","iter3-N_e","iter3-N_t","iter3-N_cp_c","iter3-N_cp_h","iter3-G_c_c","iter3-G_c_h","iter3-Re_c_res","iter3-Re_h_res","iter4-Re_c","iter4-Re_h","iter4-Ch_c","iter4-y_c","iter4-Ch_h","iter4-y_h","iter4-Nu_c","iter4-Nu_h","iter4-h_c","iter4-h_h","iter4-U_f","iter4-T_A","iter4-T_B","iter4-LMTD","iter4-NTU","iter4-flow","iter4-F","iter4-T_eff","iter4-Q","iter4-A_t","iter4-N_e","iter4-N_t","iter4-N_cp_c","iter4-N_cp_h","iter4-G_c_c","iter4-G_c_h","iter4-Re_c_res","iter4-Re_h_res","iter5-Re_c","iter5-Re_h","iter5-Ch_c","iter5-y_c","iter5-Ch_h","iter5-y_h","iter5-Nu_c","iter5-Nu_h","iter5-h_c","iter5-h_h","iter5-U_f","iter5-T_A","iter5-T_B","iter5-LMTD","iter5-NTU","iter5-flow","iter5-F","iter5-T_eff","iter5-Q","iter5-A_t","iter5-N_e","iter5-N_t","iter5-N_cp_c","iter5-N_cp_h","iter5-G_c_c","iter5-G_c_h","iter5-Re_c_res","iter5-Re_h_res","iter6-Re_c","iter6-Re_h","iter6-Ch_c","iter6-y_c","iter6-Ch_h","iter6-y_h","iter6-Nu_c","iter6-Nu_h","iter6-h_c","iter6-h_h","iter6-U_f","iter6-T_A","iter6-T_B","iter6-LMTD","iter6-NTU","iter6-flow","iter6-F","iter6-T_eff","iter6-Q","iter6-A_t","iter6-N_e","iter6-N_t","iter6-N_cp_c","iter6-N_cp_h","iter6-G_c_c","iter6-G_c_h","iter6-Re_c_res","iter6-Re_h_res","iter7-Re_c","iter7-Re_h","iter7-Ch_c","iter7-y_c","iter7-Ch_h","iter7-y_h","iter7-Nu_c","iter7-Nu_h","iter7-h_c","iter7-h_h","iter7-U_f","iter7-T_A","iter7-T_B","iter7-LMTD","iter7-NTU","iter7-flow","iter7-F","iter7-T_eff","iter7-Q","iter7-A_t","iter7-N_e","iter7-N_t","iter7-N_cp_c","iter7-N_cp_h","iter7-G_c_c","iter7-G_c_h","iter7-Re_c_res","iter7-Re_h_res","iter8-Re_c","iter8-Re_h","iter8-Ch_c","iter8-y_c","iter8-Ch_h","iter8-y_h","iter8-Nu_c","iter8-Nu_h","iter8-h_c","iter8-h_h","iter8-U_f","iter8-T_A","iter8-T_B","iter8-LMTD","iter8-NTU","iter8-flow","iter8-F","iter8-T_eff","iter8-Q","iter8-A_t","iter8-N_e","iter8-N_t","iter8-N_cp_c","iter8-N_cp_h","iter8-G_c_c","iter8-G_c_h","iter8-Re_c_res","iter8-Re_h_res"
"Rating Validation Copy","rating","Water","Water","65","22","","","140","140","","","0.00005","0","1","1","Stainless Steel (ANSI 304)","0.6","1.25","45","0.200","0.63","0.430","1.550","1.350","3.6","105","17.5",17.5,0,0.00005,0.003,0.0048000000000000004,0.8505,1.063125,103,109.50187500000001,52,52,1424.5014245014245,1424.5014245014245,22,65,22,65,0.0009574000000000001,4183,0.58958,6.792639166864549,0.0004334,4184,0.6455,2.8092108443067394,7141.849631926924,15776.665522858417,203.95949681920084,257.00019716191207,25052.175028055088,34561.17234750296,6530.117052959654,585620,585760,585620,585760,1.221030807125024,0.9997609942638623,0.5497947275332989,13844743.898536174,45.641173283931856,41.36447709209203,45.641173283931856,41.36447709209203,33.82058664196593,53.182238546046015,0.0007380224366524922,4183,0.6088837034286275,5.070176513402523,0.0005197963932749252,4181.636447709209,0.6340004624006506,3.4283879467151426,9264.76824826725,13154.394539998979,219.8569815567538,243.46052662204977,27889.02774060744,32157.101344726132,6612.03190072035,585620,585429.1026792893,585429.1026792893,585620,1.2367507651653789,0.9996740252711473,0.552972750599269,13920232.671145424,45.770077304643664,41.22217172423143,994.3790868582106,991.6826702367354,1.441,0.206,1.441,0.206,289327.89788880275,13979.845895241491,303307.7437840442,269903.7329432028,14017.857539458882,283921.5904826617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sizing Validation","sizing","Water","Water","60","10","20","50","59.71","59.71","10000000","10000000","0.00003","0.000015","2","2","Stainless Steel (ANSI 304)","0.6","1.17","45","0.150","0.500","0.350","1.650","1.5","3.5","","17.14",17.14,0.000015,0.00003,0.0029,0.004957264957264957,0.75,0.8775,,,,,,,,,,,,,,,,,,,5000,5000,150.38634895452736,139.55796514453257,18292.943629467,17392.435467855503,5203.78050333421,,,,,4,,,9988288.8,,,,,,,,,,,,,,,4166.144820226431,5086.994831003557,133.25244460828802,141.16315461120806,16208.781413033324,17592.48248189674,5036.6860151265655,,,,,4,,,9988288.8,,,995.7,992.2,1.441,0.206,1.441,0.206,142064.14011605686,16052.72892250273,158116.86903855958,136819.50127661604,16109.355158371265,152928.8564349873,0.0007977,4183,0.603,5.533630348258707,0.0006533,4182,0.6178,4.422305924247329,0.3,0.663,0.3,0.663,10,10,10,"2-2",0.8939,8.939,214.72528313933225,244.70117736676042,246.70117736676042,61.425294341690105,61.425294341690105,670.3966303483984,670.3966303483984,4166.144820226431,5086.994831003557,0.3,0.663,0.3,0.663,10,10,10,"2-2",0.8939,8.939,221.8488979891864,252.81925696773382,254.81925696773382,63.454814241933455,63.454814241933455,648.9548639733417,648.9548639733417,4032.89608376795,4924.293901762887,4032.89608376795,4924.293901762887,0.3,0.663,0.3,0.663,130.41135124894956,138.1533959360248,15863.19179649076,17217.390788078115,4972.016001458217,10,10,10,4,"2-2",0.8939,8.939,9988288.8,224.7344420544229,256.10762627284663,258.10762627284663,64.27690656821166,64.27690656821166,640.6548252462565,640.6548252462565,3981.3159269098305,4861.312895906891,3981.3159269098305,4861.312895906891,0.3,0.663,0.3,0.663,129.30310862229976,136.97936100021272,15728.385545537709,17071.07648178272,4946.48485463609,10,10,10,4,"2-2",0.8939,8.939,9988288.8,225.8944027547377,257.42951880881793,259.42951880881793,64.60737970220448,64.60737970220448,637.3778124826582,637.3778124826582,3960.9511023674013,4836.4467998752125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rating Validation","rating","Water","Water","65","22","","","140","140","","","0.00005","0","1","1","Stainless Steel (ANSI 304)","0.6","1.25","45","0.200","0.63","0.430","1.550","1.350","3.6","105","17.5",17.5,0,0.00005,0.003,0.0048000000000000004,0.8505,1.063125,103,109.50187500000001,52,52,1424.5014245014245,1424.5014245014245,22,65,22,65,0.0009574000000000001,4183,0.58958,6.792639166864549,0.0004334,4184,0.6455,2.8092108443067394,7141.849631926924,15776.665522858417,203.95949681920084,257.00019716191207,25052.175028055088,34561.17234750296,6530.117052959654,585620,585760,585620,585760,1.221030807125024,0.9997609942638623,0.5497947275332989,13844743.898536174,45.641173283931856,41.36447709209203,45.641173283931856,41.36447709209203,33.82058664196593,53.182238546046015,0.0007380224366524922,4183,0.6088837034286275,5.070176513402523,0.0005197963932749252,4181.636447709209,0.6340004624006506,3.4283879467151426,9264.76824826725,13154.394539998979,219.8569815567538,243.46052662204977,27889.02774060744,32157.101344726132,6612.03190072035,585620,585429.1026792893,585429.1026792893,585620,1.2367507651653789,0.9996740252711473,0.552972750599269,13920232.671145424,45.770077304643664,41.22217172423143,994.3790868582106,991.6826702367354,1.441,0.206,1.441,0.206,289327.89788880275,13979.845895241491,303307.7437840442,269903.7329432028,14017.857539458882,283921.5904826617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rating Example(2)","rating","Sea Water","Sea Water","65","23","","","140","140","","","","","2","2","Stainless Steel (ANSI 304)","0.6","1.1","45","0.200","0.500","0.300","1.600","1.800","3.6","120","",14.9,0.000043,0.000043,0.003,0.005454545454545454,0.9,0.9900000000000001,118,116.82000000000001,29.75,29.75,3137.2549019607845,3137.2549019607845,23,65,23,65,0.0010062,4000.04,0.6057,6.64494014858841,0.0004745,4017,0.6527499999999999,2.9200559172730753,17006.85695213739,36063.85556425847,359.9056768407783,450.39180813299333,39965.72588478423,53898.763005782086,5887.783640282604,560005.6,562380,560005.6,562380,1.2282214407459744,0.9957779437391088,0.5518531650540027,12979716.237934565,46.17783293226812,41.92002518237746,46.17783293226812,41.92002518237746,34.58891646613406,53.46001259118873,0.0007903306864215355,4004.252009927808,0.6212361455826676,5.09417113301231,0.0005642438917157769,4011.522405540123,0.6422870119616293,3.524089654084763,21652.075212619955,30327.841765738627,386.58822157779275,427.4951143166964,44029.80572845181,50338.66926048878,5922.564095986103,560595.2813898931,561613.1367756173,560595.2813898931,561613.1367756173,1.234177240981626,0.9981876218359708,0.552684500183612,13012957.561811108,46.21274900771171,41.829321271716964,1020.2956414335733,1017.4938905123697,1.441,0.206,1.441,0.206,2086152.5771741068,27249.48697457272,2113402.0641486794,1951613.629092781,27324.520619438037,1978938.1497122191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rating Example","rating","Sea Water","Sea Water","65","23","","","140","140","","","","","2","2","Stainless Steel (ANSI 304)","0.6","1.1","45","0.200","0.500","0.300","1.600","1.800","3.6","120","",14.9,0.000043,0.000043,0.003,0.005454545454545454,0.9,0.9900000000000001,118,116.82000000000001,29.75,29.75,3137.2549019607845,3137.2549019607845,23,65,23,65,0.0010062,4000.04,0.6057,6.64494014858841,0.0004745,4017,0.6527499999999999,2.9200559172730753,17006.85695213739,36063.85556425847,359.9056768407783,450.39180813299333,39965.72588478423,53898.763005782086,5887.783640282604,560005.6,562380,560005.6,562380,1.2282214407459744,0.9957779437391088,0.5518531650540027,12979716.237934565,46.17783293226812,41.92002518237746,46.17783293226812,41.92002518237746,34.58891646613406,53.46001259118873,0.0007903306864215355,4004.252009927808,0.6212361455826676,5.09417113301231,0.0005642438917157769,4011.522405540123,0.6422870119616293,3.524089654084763,21652.075212619955,30327.841765738627,386.58822157779275,427.4951143166964,44029.80572845181,50338.66926048878,5922.564095986103,560595.2813898931,561613.1367756173,560595.2813898931,561613.1367756173,1.234177240981626,0.9981876218359708,0.552684500183612,13012957.561811108,46.21274900771171,41.829321271716964,1020.2956414335733,1017.4938905123697,1.441,0.206,1.441,0.206,2086152.5771741068,27249.48697457272,2113402.0641486794,1951613.629092781,27324.520619438037,1978938.1497122191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Untitled(2)","sizing","Sea Water","Water","79","6","45","78","140","140","100000","100000","","","2","1","Stainless Steel (ANSI 304)","0.6","1.1","45","0.200","0.500","0.300","1.600","1.4","3.6","","",14.9,0,0.000043,0.003,0.005454545454545454,0.7,0.77,,,,,,,,,,,,,,,,,,,5000,5000,137.71930139379657,123.36305907631744,15665.203282073977,14705.287852093963,4648.8501405704965,,,,,6.941485224245646,,,19113494.4,,,,,,,,,,,,,,,1486.9704149747222,3791.0830838720676,61.63311833426362,102.68052647731977,7010.602855540263,12239.86102451811,3250.8715549724834,,,,,6.941485224245646,,,19113494.4,,,991.4000000000001,1007.9,1.441,0.206,1.441,0.206,1524.9629044456758,14021.854343079218,15546.817247524894,9895.774151754196,27584.61433818581,37480.38848994001,0.0006305,4182,0.62044,4.24980820063181,0.0004946,4015.44,0.6502,3.0545011135035374,0.3,0.663,0.3,0.663,1,39,10.3724199755571,"2-1",0.4744450171528518,4.921142973219771,835.4655839982323,1085.0202389587432,1087.0202389587432,543.0101194793716,271.5050597396858,171.8813885509531,343.7627771019062,1486.9704149747222,3791.0830838720676,0.3,0.663,0.3,0.663,1,39,10.3724199755571,"2-1",0.4744450171528518,4.921142973219771,1194.7424658077177,1551.613591958075,1553.613591958075,776.3067959790375,388.15339798951874,120.227381515611,240.454763031222,1040.1042305438195,2651.782116287417,1040.1042305438195,2651.782116287417,0.3,0.663,0.3,0.663,48.629483644763745,81.01652354962272,5531.474085968824,9657.439662193527,2720.3540788887626,1,39,10.3724199755571,6.941485224245646,"2-1",0.4744450171528518,4.921142973219771,19113494.4,1427.738516744317,1854.2058659017102,1856.2058659017102,927.6029329508551,463.80146647542756,100.61776436651067,201.23552873302134,870.4586348483368,2219.2647362388857,870.4586348483368,2219.2647362388857,0.3,0.663,0.3,0.663,43.21462149453364,71.99538505436925,4915.54795601255,8582.089883097664,2479.996901553829,1,39,10.3724199755571,6.941485224245646,"2-1",0.4744450171528518,4.921142973219771,19113494.4,1566.1125605352665,2033.912416279567,2035.912416279567,1017.4562081397835,508.72810406989174,91.73203975429546,183.4640795085909,793.5869634860827,2023.277721301962,793.5869634860827,2023.277721301962,0.3,0.663,0.3,0.663,40.6451628678036,67.71467734908249,4623.278889111679,8071.815255601798,2361.536984091532,1,39,10.3724199755571,6.941485224245646,"2-1",0.4744450171528518,4.921142973219771,19113494.4,1644.672229897821,2135.9379609062607,2137.9379609062607,1068.4689804531304,534.2344902265652,87.35240333673636,174.70480667347272,755.6981039873377,1926.6787487424847,755.6981039873377,1926.6787487424847,0.3,0.663,0.3,0.663,39.34799818056181,65.55360621373272,4475.729865043758,7814.208372697653,2300.6079268358844,1,39,10.3724199755571,6.941485224245646,"2-1",0.4744450171528518,4.921142973219771,19113494.4,1688.2295554609113,2192.505916183002,2194.505916183002,1096.752958091501,548.3764790457504,85.09968689370669,170.19937378741338,736.2095326396657,1876.991954425027,736.2095326396657,1876.991954425027,0.3,0.663,0.3,0.663,38.672268693067934,64.42784361389444,4398.867437786629,7680.013718254931,2268.562400577271,1,39,10.3724199755571,6.941485224245646,"2-1",0.4744450171528518,4.921142973219771,19113494.4,1712.0773475852645,2223.477074786058,2225.477074786058,1112.238537393029,556.1192686965145,83.91485297038612,167.82970594077224,725.9593653266768,1850.8587943326718,725.9593653266768,1850.8587943326718,0.3,0.663,0.3,0.663,38.31444695517802,63.83171404225244,4358.166169292953,7608.953086216633,2251.507385675258,1,39,10.3724199755571,6.941485224245646,"2-1",0.4744450171528518,4.921142973219771,19113494.4,1725.0462167358796,2240.3197619946486,2242.3197619946486,1120.6598809973243,560.3299404986622,83.28426395551156,166.56852791102312,720.5040497917516,1836.9502765616635
"Untitled(4)","sizing","Sea Water","Water","79","6","45","78","140","140","100000","100000","","","1","3","Stainless Steel (ANSI 304)","0.6","1.1","45","0.200","0.500","0.300","1.600","1.4","3.6","","",14.9,0,0.000043,0.003,0.005454545454545454,0.7,0.77,,,,,,,,,,,,,,,,,,,5000,5000,137.71930139379657,123.36305907631744,15665.203282073977,14705.287852093963,4648.8501405704965,,,,,6.941485224245646,,,19113494.4,,,,,,,,,,,,,,,5316.232814894694,2258.986918581416,143.43434175907382,72.84719117841297,16315.273883516624,8683.62801243742,3850.3009821980177,,,,,6.941485224245646,,,19113494.4,,,991.4000000000001,1007.9,1.441,0.206,1.441,0.206,88988.26071033129,42065.56302923765,131053.82373956894,3866.9505688320655,13792.307169092905,17659.25773792497,0.0006305,4182,0.62044,4.24980820063181,0.0004946,4015.44,0.6502,3.0545011135035374,0.3,0.663,0.3,0.663,1,39,10.3724199755571,"3-1",0.5655135968800973,5.865744528728267,700.9247620525408,910.2918987695335,912.2918987695335,151.8819831282556,455.64594938476677,614.5122114617025,204.83740382056752,5316.232814894694,2258.986918581416,0.3,0.663,0.3,0.663,1,39,10.3724199755571,"3-1",0.5655135968800973,5.865744528728267,846.2959632670387,1099.0856665805698,1101.0856665805698,183.34761109676163,550.0428332902849,509.05126483527897,169.68375494509297,4403.875119330508,1871.3056090698778,4403.875119330508,1871.3056090698778,0.3,0.663,0.3,0.663,126.60192228747958,64.29837041342418,14400.631055074702,7664.580081181541,3531.320969132472,1,39,10.3724199755571,6.941485224245646,"3-1",0.5655135968800973,5.865744528728267,19113494.4,922.7408686664356,1198.3647645018643,1200.3647645018643,199.8941274169774,599.6823822509322,466.9138335346932,155.6379445115644,4039.3381893276032,1716.4056667819475,4039.3381893276032,1716.4056667819475,0.3,0.663,0.3,0.663,119.55324568379271,60.71850044779164,13598.862887876265,7237.847648378257,3390.2139206513175,1,39,10.3724199755571,6.941485224245646,"3-1",0.5655135968800973,5.865744528728267,19113494.4,961.1470706165009,1248.2429488525984,1250.2429488525984,208.20715814209973,624.6214744262992,448.2714915576249,149.4238305192083,3878.0606291482222,1647.875203314432,3878.0606291482222,1647.875203314432,0.3,0.663,0.3,0.663,116.36682212477128,59.10018503369555,13236.415705167068,7044.9390566332895,3324.871764808138,1,39,10.3724199755571,6.941485224245646,"3-1",0.5655135968800973,5.865744528728267,19113494.4,980.0360462278845,1272.7740860102397,1274.7740860102397,212.2956810017066,636.8870430051198,439.63839910894393,146.54613303631464,3803.3745146761785,1616.139393114524,3803.3745146761785,1616.139393114524,0.3,0.663,0.3,0.663,114.8761325774767,58.34309614474709,13066.853744334436,6954.691537441004,3293.96168219556,1,39,10.3724199755571,6.941485224245646,"3-1",0.5655135968800973,5.865744528728267,19113494.4,989.2325694649177,1284.7176226817112,1286.7176226817112,214.28627044695187,642.8588113408556,435.5544251092777,145.18480836975922,3768.0434729373023,1601.1264386621976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Untitled(2) Copy(2)","sizing","Sea Water","Water","79","6","45","78","140","140","100000","100000","","","1","3","Stainless Steel (ANSI 304)","0.6","1.1","45","0.200","0.500","0.300","1.600","1.4","3.6","","",14.9,0,0.000043,0.003,0.005454545454545454,0.7,0.77,,,,,,,,,,,,,,,,,,,5000,5000,137.71930139379657,123.36305907631744,15665.203282073977,14705.287852093963,4648.8501405704965,,,,,6.941485224245646,,,19113494.4,,,,,,,,,,,,,,,5316.232814894694,2258.986918581416,143.43434175907382,72.84719117841297,16315.273883516624,8683.62801243742,3850.3009821980177,,,,,6.941485224245646,,,19113494.4,,,991.4000000000001,1007.9,1.441,0.206,1.441,0.206,88988.26071033129,42065.56302923765,131053.82373956894,3866.9505688320655,13792.307169092905,17659.25773792497,0.0006305,4182,0.62044,4.24980820063181,0.0004946,4015.44,0.6502,3.0545011135035374,0.3,0.663,0.3,0.663,1,39,10.3724199755571,"3-1",0.5655135968800973,5.865744528728267,700.9247620525408,910.2918987695335,912.2918987695335,151.8819831282556,455.64594938476677,614.5122114617025,204.83740382056752,5316.232814894694,2258.986918581416,0.3,0.663,0.3,0.663,1,39,10.3724199755571,"3-1",0.5655135968800973,5.865744528728267,846.2959632670387,1099.0856665805698,1101.0856665805698,183.34761109676163,550.0428332902849,509.05126483527897,169.68375494509297,4403.875119330508,1871.3056090698778,4403.875119330508,1871.3056090698778,0.3,0.663,0.3,0.663,126.60192228747958,64.29837041342418,14400.631055074702,7664.580081181541,3531.320969132472,1,39,10.3724199755571,6.941485224245646,"3-1",0.5655135968800973,5.865744528728267,19113494.4,922.7408686664356,1198.3647645018643,1200.3647645018643,199.8941274169774,599.6823822509322,466.9138335346932,155.6379445115644,4039.3381893276032,1716.4056667819475,4039.3381893276032,1716.4056667819475,0.3,0.663,0.3,0.663,119.55324568379271,60.71850044779164,13598.862887876265,7237.847648378257,3390.2139206513175,1,39,10.3724199755571,6.941485224245646,"3-1",0.5655135968800973,5.865744528728267,19113494.4,961.1470706165009,1248.2429488525984,1250.2429488525984,208.20715814209973,624.6214744262992,448.2714915576249,149.4238305192083,3878.0606291482222,1647.875203314432,3878.0606291482222,1647.875203314432,0.3,0.663,0.3,0.663,116.36682212477128,59.10018503369555,13236.415705167068,7044.9390566332895,3324.871764808138,1,39,10.3724199755571,6.941485224245646,"3-1",0.5655135968800973,5.865744528728267,19113494.4,980.0360462278845,1272.7740860102397,1274.7740860102397,212.2956810017066,636.8870430051198,439.63839910894393,146.54613303631464,3803.3745146761785,1616.139393114524,3803.3745146761785,1616.139393114524,0.3,0.663,0.3,0.663,114.8761325774767,58.34309614474709,13066.853744334436,6954.691537441004,3293.96168219556,1,39,10.3724199755571,6.941485224245646,"3-1",0.5655135968800973,5.865744528728267,19113494.4,989.2325694649177,1284.7176226817112,1286.7176226817112,214.28627044695187,642.8588113408556,435.5544251092777,145.18480836975922,3768.0434729373023,1601.1264386621976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
